2024-11-19 	22:04:52 	01934787-a7c4-7265-8d38-236c2f1d77d7 	GET  	undefined             	/index.html
2024-11-19 	22:04:52 	01934787-a7cc-77f8-8b70-6561a5e5b757 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:04:52 	01934787-a7df-777f-acb9-efbaa9ee4c2a 	GET  	undefined             	/css/styles.css
2024-11-19 	22:04:52 	01934787-a7df-777f-acb9-f032003ad6b9 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:04:52 	01934787-a7e0-746d-bf0a-f8f2bfc95c2a 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:04:52 	01934787-a7ec-741b-bf9d-08a70d5390a3 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:04:52 	01934787-a801-738f-99f8-f56b710e0473 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:08:25 	0193478a-e718-738a-abe6-ce1e365f67b7 	GET  	undefined             	/
2024-11-19 	22:08:25 	0193478a-e71d-72f4-baaf-e1365e3d005e 	GET  	undefined             	/css/styles.css
2024-11-19 	22:08:25 	0193478a-e71e-72a0-8ca9-fc12747242f6 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:08:25 	0193478a-e71e-72a0-8caa-03327bac0d02 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:08:27 	0193478a-ef40-72aa-a4ba-f2b890b97dd3 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:08:27 	0193478a-ef43-71fd-9050-84c377548523 	GET  	undefined             	/index.html
2024-11-19 	22:09:32 	0193478b-eac5-765c-8d03-50e80e5fff60 	GET  	undefined             	/
2024-11-19 	22:09:32 	0193478b-eac9-753c-9b13-12ad66fa40f5 	GET  	undefined             	/css/styles.css
2024-11-19 	22:09:32 	0193478b-eac9-753c-9b13-152f347ff22d 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:09:32 	0193478b-eaca-72a9-8be2-9e7643713625 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:09:32 	0193478b-eae2-77b2-9882-64196b991ffa 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:09:35 	0193478b-f5f6-73eb-be4e-314540131c60 	GET  	undefined             	/index.html
2024-11-19 	22:09:35 	0193478b-f5fd-7109-b371-63c432efb8e6 	POST 	http://localhost:8080 	/index.html
2024-11-19 	22:10:00 	0193478c-5817-71d4-ba4c-c00b40e3560a 	GET  	undefined             	/
2024-11-19 	22:10:00 	0193478c-581d-730f-95fc-ace5c4f33eb3 	GET  	undefined             	/css/styles.css
2024-11-19 	22:10:00 	0193478c-581d-730f-95fc-b1179ff35aab 	GET  	undefined             	/imgs/basicLogo.jpeg
2024-11-19 	22:10:00 	0193478c-581d-730f-95fc-b720ec053d2e 	GET  	undefined             	/scripts/index.js
2024-11-19 	22:10:00 	0193478c-583a-75bd-a931-be07266f1d27 	GET  	undefined             	/videos/cool.mp4
2024-11-19 	22:10:02 	0193478c-6153-73c3-aea8-fb10bcea6d78 	GET  	undefined             	/index.html
